Age,Sex,Country,Year,Population,,,,,,,
All ages,Female,Bulgaria,2007,3871864,,,,,,,
All ages,Female,Bulgaria,2008,3844449,,,,,,,
All ages,Female,Bulgaria,2009,3819536,,,,,,,
All ages,Female,Bulgaria,2010,3794156,,,,,,,
All ages,Female,Bulgaria,2011,3770481,,,,,,,
All ages,Female,Bulgaria,2012,3731201,,,,,,,
All ages,Female,Bulgaria,2013,3682384,,,,,,,
All ages,Female,Bulgaria,2014,3642353,,,,,,,
All ages,Female,Bulgaria,2015,3600440,,,,,,,
All ages,Female,Bulgaria,2016,3558273,,,,,,,
All ages,Female,Bulgaria,2017,3515866,,,,,,,
All ages,Female,Bulgaria,2018,3472217,,,,,,,
All ages,Female,Bulgaria,2019,3428056,,,,,,,
All ages,Female,Bulgaria,2020,3397834,,,,,,,
All ages,Female,Bulgaria,2021,3377055,,,,,,,
All ages,Female,Bulgaria,2022,3356255,,,,,,,
All ages,Female,Bulgaria,2023,3347995,,,,,,,
All ages,Female,Canada,1980,12307830,,,,,,,
All ages,Female,Canada,1990,13969405,,,,,,,
All ages,Female,Canada,1995,14799830,,,,,,,
All ages,Female,Canada,2000,15491782,,,,,,,
All ages,Female,Canada,2001,15654302,,,,,,,
All ages,Female,Canada,2002,15822503,,,,,,,
All ages,Female,Canada,2003,15964718,,,,,,,
All ages,Female,Canada,2004,16113565,,,,,,,
All ages,Female,Canada,2005,16263745,,,,,,,
All ages,Female,Canada,2006,16426415,,,,,,,
All ages,Female,Canada,2007,16590173,,,,,,,
All ages,Female,Canada,2008,16772940,,,,,,,
All ages,Female,Canada,2009,16965482,,,,,,,
All ages,Female,Canada,2010,17157066,,,,,,,
All ages,Female,Canada,2011,17324800,,,,,,,
All ages,Female,Canada,2012,17504322,,,,,,,
All ages,Female,Canada,2013,17681789,,,,,,,
All ages,Female,Canada,2014,17855738,,,,,,,
All ages,Female,Canada,2015,17990107,,,,,,,
All ages,Female,Canada,2016,18192991,,,,,,,
All ages,Female,Canada,2017,18409048,,,,,,,
All ages,Female,Canada,2018,18658800,,,,,,,
All ages,Female,Canada,2019,18918505,,,,,,,
All ages,Female,Canada,2020,19121390,,,,,,,
All ages,Female,Canada,2021,19227195,,,,,,,
All ages,Female,Canada,2022,..,,,,,,,
All ages,Female,Canada,2023,..,,,,,,,
All ages,Female,Croatia,1980,..,,,,,,,
All ages,Female,Croatia,1990,2462304,,,,,,,
All ages,Female,Croatia,1995,2399735,,,,,,,
All ages,Female,Croatia,2000,2282983,,,,,,,
All ages,Female,Croatia,2001,2233888,,,,,,,
All ages,Female,Croatia,2002,2236733,,,,,,,
All ages,Female,Croatia,2003,2236941,,,,,,,
All ages,Female,Croatia,2004,2237732,,,,,,,
All ages,Female,Croatia,2005,2238567,,,,,,,
All ages,Female,Croatia,2006,2237951,,,,,,,
All ages,Female,Croatia,2007,2236164,,,,,,,
All ages,Female,Croatia,2008,2234004,,,,,,,
All ages,Female,Croatia,2009,2230612,,,,,,,
All ages,Female,Croatia,2010,2224650,,,,,,,
All ages,Female,Croatia,2011,2217390,,,,,,,
All ages,Female,Croatia,2012,2206990,,,,,,,
All ages,Female,Croatia,2013,2193475,,,,,,,
All ages,Female,Croatia,2014,2178402,,,,,,,
All ages,Female,Croatia,2015,2158291,,,,,,,
All ages,Female,Croatia,2016,2134254,,,,,,,
All ages,Female,Croatia,2017,2106523,,,,,,,
All ages,Female,Croatia,2018,2077917,,,,,,,
All ages,Female,Croatia,2019,2053200,,,,,,,
All ages,Female,Croatia,2020,2030265,,,,,,,
All ages,Female,Croatia,2021,2009507,,,,,,,
All ages,Female,Croatia,2022,1994520,,,,,,,
All ages,Female,Croatia,2023,1987792,,,,,,,
All ages,Female,Cyprus,1980,256550,,,,,,,
All ages,Female,Cyprus,1990,290860,,,,,,,
All ages,Female,Cyprus,1995,328478,,,,,,,
All ages,Female,Cyprus,2000,352819,,,,,,,
All ages,Female,Cyprus,2001,357079,,,,,,,
All ages,Female,Cyprus,2002,361472,,,,,,,
All ages,Female,Cyprus,2003,365957,,,,,,,
All ages,Female,Cyprus,2004,371038,,,,,,,
All ages,Female,Cyprus,2005,376588,,,,,,,
All ages,Female,Cyprus,2006,382916,,,,,,,
All ages,Female,Cyprus,2007,391138,,,,,,,
All ages,Female,Cyprus,2008,401439,,,,,,,
All ages,Female,Cyprus,2009,413269,,,,,,,
All ages,Female,Cyprus,2010,425264,,,,,,,
All ages,Female,Cyprus,2011,437005,,,,,,,
All ages,Female,Cyprus,2012,443930,,,,,,,
All ages,Female,Cyprus,2013,443189,,,,,,,
All ages,Female,Cyprus,2014,441548,,,,,,,
All ages,Female,Cyprus,2015,442091,,,,,,,
All ages,Female,Cyprus,2016,444251,,,,,,,
All ages,Female,Cyprus,2017,448151,,,,,,,
All ages,Female,Cyprus,2018,453003,,,,,,,
All ages,Female,Cyprus,2019,457387,,,,,,,
All ages,Female,Cyprus,2020,463057,,,,,,,
All ages,Female,Cyprus,2021,471718,,,,,,,
All ages,Female,Cyprus,2022,480234,,,,,,,
All ages,Female,Cyprus,2023,487363,,,,,,,
All ages,Female,Czechia,1980,5307451,,,,,,,
All ages,Female,Czechia,1990,5315042,,,,,,,
All ages,Female,Czechia,1995,5308763,,,,,,,
All ages,Female,Czechia,2000,5263351,,,,,,,
All ages,Female,Czechia,2001,5242668,,,,,,,
All ages,Female,Czechia,2002,5233310,,,,,,,
All ages,Female,Czechia,2003,5229577,,,,,,,
All ages,Female,Czechia,2004,5228202,,,,,,,
All ages,Female,Czechia,2005,5231062,,,,,,,
All ages,Female,Czechia,2006,5238781,,,,,,,
All ages,Female,Czechia,2007,5260971,,,,,,,
All ages,Female,Czechia,2008,5293705,,,,,,,
All ages,Female,Czechia,2009,5317513,,,,,,,
All ages,Female,Czechia,2010,5332711,,,,,,,
All ages,Female,Czechia,2011,5343367,,,,,,,
All ages,Female,Czechia,2012,5349505,,,,,,,
All ages,Female,Czechia,2013,5350907,,,,,,,
All ages,Female,Czechia,2014,5355693,,,,,,,
All ages,Female,Czechia,2015,5364430,,,,,,,
All ages,Female,Czechia,2016,5372823,,,,,,,
All ages,Female,Czechia,2017,5384198,,,,,,,
All ages,Female,Czechia,2018,5397935,,,,,,,
All ages,Female,Czechia,2019,5413774,,,,,,,
All ages,Female,Czechia,2020,5372938,,,,,,,
All ages,Female,Czechia,2021,5328433,,,,,,,
All ages,Female,Czechia,2022,5425969,,,,,,,
All ages,Female,Czechia,2023,5538475,,,,,,,
All ages,Female,Denmark,1980,2594388,,,,,,,
All ages,Female,Denmark,1990,2607445,,,,,,,
All ages,Female,Denmark,1995,2650599,,,,,,,
All ages,Female,Denmark,2000,2700395,,,,,,,
All ages,Female,Denmark,2001,2709550,,,,,,,
All ages,Female,Denmark,2002,2717646,,,,,,,
All ages,Female,Denmark,2003,2724294,,,,,,,
All ages,Female,Denmark,2004,2730809,,,,,,,
All ages,Female,Denmark,2005,2737863,,,,,,,
All ages,Female,Denmark,2006,2746017,,,,,,,
All ages,Female,Denmark,2007,2756773,,,,,,,
All ages,Female,Denmark,2008,2771278,,,,,,,
All ages,Female,Denmark,2009,2785441,,,,,,,
All ages,Female,Denmark,2010,2797749,,,,,,,
All ages,Female,Denmark,2011,2808893,,,,,,,
All ages,Female,Denmark,2012,2818758,,,,,,,
All ages,Female,Denmark,2013,2829366,,,,,,,
All ages,Female,Denmark,2014,2841828,,,,,,,
All ages,Female,Denmark,2015,2859032,,,,,,,
All ages,Female,Denmark,2016,2878977,,,,,,,
All ages,Female,Denmark,2017,2896654,,,,,,,
All ages,Female,Denmark,2018,2910862,,,,,,,
All ages,Female,Denmark,2019,2921426,,,,,,,
All ages,Female,Denmark,2020,2930516,,,,,,,
All ages,Female,Denmark,2021,2942846,,,,,,,
All ages,Female,Denmark,2022,2967080,,,,,,,
All ages,Female,Denmark,2023,2990606,,,,,,,
All ages,Female,Estonia,1980,793179,,,,,,,
All ages,Female,Estonia,1990,835130,,,,,,,
All ages,Female,Estonia,1995,771324,,,,,,,
All ages,Female,Estonia,2000,745910,,,,,,,
All ages,Female,Estonia,2001,741430,,,,,,,
All ages,Female,Estonia,2002,737205,,,,,,,
All ages,Female,Estonia,2003,733000,,,,,,,
All ages,Female,Estonia,2004,728970,,,,,,,
All ages,Female,Estonia,2005,724955,,,,,,,
All ages,Female,Estonia,2006,720715,,,,,,,
All ages,Female,Estonia,2007,717525,,,,,,,
All ages,Female,Estonia,2008,715405,,,,,,,
All ages,Female,Estonia,2009,713455,,,,,,,
All ages,Female,Estonia,2010,711225,,,,,,,
All ages,Female,Estonia,2011,708519,,,,,,,
All ages,Female,Estonia,2012,705543,,,,,,,
All ages,Female,Estonia,2013,702453,,,,,,,
All ages,Female,Estonia,2014,700533,,,,,,,
All ages,Female,Estonia,2015,699701,,,,,,,
All ages,Female,Estonia,2016,698666,,,,,,,
All ages,Female,Estonia,2017,698073,,,,,,,
All ages,Female,Estonia,2018,698617,,,,,,,
All ages,Female,Estonia,2019,699442,,,,,,,
All ages,Female,Estonia,2020,699426,,,,,,,
All ages,Female,Estonia,2021,698767,,,,,,,
All ages,Female,Estonia,2022,708449,,,,,,,
All ages,Female,Estonia,2023,720796,,,,,,,
All ages,Female,Finland,1980,2468721,,,,,,,
All ages,Female,Finland,1990,2566948,,,,,,,
All ages,Female,Finland,1995,2621115,,,,,,,
All ages,Female,Finland,2000,2650025,,,,,,,
All ages,Female,Finland,2001,2654539,,,,,,,
All ages,Female,Finland,2002,2659341,,,,,,,
All ages,Female,Finland,2003,2664109,,,,,,,
All ages,Female,Finland,2004,2670686,,,,,,,
All ages,Female,Finland,2005,2678882,,,,,,,
All ages,Female,Finland,2006,2688221,,,,,,,
All ages,Female,Finland,2007,2698455,,,,,,,
All ages,Female,Finland,2008,2709179,,,,,,,
All ages,Female,Finland,2009,2720510,,,,,,,
All ages,Female,Finland,2010,2731610,,,,,,,
All ages,Female,Finland,2011,2742796,,,,,,,
All ages,Female,Finland,2012,2754392,,,,,,,
All ages,Female,Finland,2013,2765479,,,,,,,
All ages,Female,Finland,2014,2775398,,,,,,,
All ages,Female,Finland,2015,2782854,,,,,,,
All ages,Female,Finland,2016,2788394,,,,,,,
All ages,Female,Finland,2017,2792484,,,,,,,
All ages,Female,Finland,2018,2794314,,,,,,,
All ages,Female,Finland,2019,2795829,,,,,,,
All ages,Female,Finland,2020,2798507,,,,,,,
All ages,Female,Finland,2021,2802562,,,,,,,
All ages,Female,Finland,2022,2807816,,,,,,,
All ages,Female,Finland,2023,2820223,,,,,,,
All ages,Female,France,1980,..,,,,,,,
All ages,Female,France,1990,..,,,,,,,
All ages,Female,France,1995,30533465,,,,,,,
All ages,Female,France,2000,31281179,,,,,,,
All ages,Female,France,2001,31523456,,,,,,,
All ages,Female,France,2002,31766706,,,,,,,
All ages,Female,France,2003,32004020,,,,,,,
All ages,Female,France,2004,32253780,,,,,,,
All ages,Female,France,2005,32512771,,,,,,,
All ages,Female,France,2006,32740183,,,,,,,
All ages,Female,France,2007,32934397,,,,,,,
All ages,Female,France,2008,33114605,,,,,,,
All ages,Female,France,2009,33279669,,,,,,,
All ages,Female,France,2010,33436455,,,,,,,
All ages,Female,France,2011,33593709,,,,,,,
All ages,Female,France,2012,33749642,,,,,,,
All ages,Female,France,2013,33974268,,,,,,,
All ages,Female,France,2014,34202373,,,,,,,
All ages,Female,France,2015,34337450,,,,,,,
All ages,Female,France,2016,34443234,,,,,,,
All ages,Female,France,2017,34553729,,,,,,,
All ages,Female,France,2018,34675563,,,,,,,
All ages,Female,France,2019,34783901,,,,,,,
All ages,Female,France,2020,34887571,,,,,,,
All ages,Female,France,2021,35027775,,,,,,,
All ages,Female,France,2022,35148943,,,,,,,
All ages,Female,France,2023,35230046,,,,,,,
All ages,Female,Georgia,1980,2679221,,,,,,,
All ages,Female,Georgia,1990,2860600,,,,,,,
All ages,Female,Georgia,1995,2451804,,,,,,,
All ages,Female,Georgia,2000,2140707,,,,,,,
All ages,Female,Georgia,2001,2106069,,,,,,,
All ages,Female,Georgia,2002,2085536,,,,,,,
All ages,Female,Georgia,2003,2070594,,,,,,,
All ages,Female,Georgia,2004,2056712,,,,,,,
All ages,Female,Georgia,2005,2042935,,,,,,,
All ages,Female,Georgia,2006,2030780,,,,,,,
All ages,Female,Georgia,2007,2019768,,,,,,,
All ages,Female,Georgia,2008,2013597,,,,,,,
All ages,Female,Georgia,2009,1996463,,,,,,,
All ages,Female,Georgia,2010,1982349,,,,,,,
All ages,Female,Georgia,2011,1966710,,,,,,,
All ages,Female,Georgia,2012,1951840,,,,,,,
All ages,Female,Georgia,2013,1944519,,,,,,,
All ages,Female,Georgia,2014,1944053,,,,,,,
All ages,Female,Georgia,2015,1944848,,,,,,,
All ages,Female,Georgia,2016,1942844,,,,,,,
All ages,Female,Georgia,2017,1939421,,,,,,,
All ages,Female,Georgia,2018,1935319,,,,,,,
All ages,Female,Georgia,2019,1929572,,,,,,,
All ages,Female,Georgia,2020,1929464,,,,,,,
All ages,Female,Georgia,2021,1925501,,,,,,,
All ages,Female,Georgia,2022,..,,,,,,,
All ages,Female,Georgia,2023,..,,,,,,,
All ages,Female,Germany,1980,32149590,,,,,,,
All ages,Female,Germany,1990,36847923,,,,,,,
All ages,Female,Germany,1995,41943157,,,,,,,
All ages,Female,Germany,2000,42087851,,,,,,,
All ages,Female,Germany,2001,42134318,,,,,,,
All ages,Female,Germany,2002,42178717,,,,,,,
All ages,Female,Germany,2003,42183729,,,,,,,
All ages,Female,Germany,2004,42161439,,,,,,,
All ages,Female,Germany,2005,42122628,,,,,,,
All ages,Female,Germany,2006,42055887,,,,,,,
All ages,Female,Germany,2007,41978642,,,,,,,
All ages,Female,Germany,2008,41880809,,,,,,,
All ages,Female,Germany,2009,41758362,,,,,,,
All ages,Female,Germany,2010,41398058,,,,,,,
All ages,Female,Germany,2011,41097709,,,,,,,
All ages,Female,Germany,2012,41120361,,,,,,,
All ages,Female,Germany,2013,41176655,,,,,,,
All ages,Female,Germany,2014,41286310,,,,,,,
All ages,Female,Germany,2015,41511820,,,,,,,
All ages,Female,Germany,2016,41743048,,,,,,,
All ages,Female,Germany,2017,41886660,,,,,,,
All ages,Female,Germany,2018,42000654,,,,,,,
All ages,Female,Germany,2019,42090810,,,,,,,
All ages,Female,Germany,2020,42128805,,,,,,,
All ages,Female,Germany,2021,42149425,,,,,,,
All ages,Female,Germany,2022,42184567,,,,,,,
All ages,Female,Germany,2023,42246455,,,,,,,
All ages,Female,Greece,1980,4909168,,,,,,,
All ages,Female,Greece,1990,5177548,,,,,,,
All ages,Female,Greece,1995,5360783,,,,,,,
All ages,Female,Greece,2000,5490023,,,,,,,
All ages,Female,Greece,2001,5506585,,,,,,,
All ages,Female,Greece,2002,5514109,,,,,,,
All ages,Female,Greece,2003,5527641,,,,,,,
All ages,Female,Greece,2004,5542871,,,,,,,
All ages,Female,Greece,2005,5561387,,,,,,,
All ages,Female,Greece,2006,5582544,,,,,,,
All ages,Female,Greece,2007,5603376,,,,,,,
All ages,Female,Greece,2008,5625820,,,,,,,
All ages,Female,Greece,2009,5648537,,,,,,,
All ages,Female,Greece,2010,5664186,,,,,,,
All ages,Female,Greece,2011,5666235,,,,,,,
All ages,Female,Greece,2012,5649943,,,,,,,
All ages,Female,Greece,2013,5625466,,,,,,,
All ages,Female,Greece,2014,5601598,,,,,,,
All ages,Female,Greece,2015,5574583,,,,,,,
All ages,Female,Greece,2016,5553227,,,,,,,
All ages,Female,Greece,2017,5539020,,,,,,,
All ages,Female,Greece,2018,5523715,,,,,,,
All ages,Female,Greece,2019,5509691,,,,,,,
